"District","FIPS","Year","Grade","Subject","Variable","Measure Type","Value"
"Cheshire School District","900914160","2014-2015","Grade 11","Math","Total Number of Students","Number","383"
"Cheshire School District","900914160","2014-2015","Grade 3","ELA","Total Number of Students","Number","291"
"Cheshire School District","900914160","2014-2015","Grade 3","Math","Total Number of Students","Number","291"
"Cheshire School District","900914160","2014-2015","Grade 4","ELA","Total Number of Students","Number","343"
"Cheshire School District","900914160","2014-2015","Grade 4","Math","Total Number of Students","Number","343"
"Cheshire School District","900914160","2014-2015","Grade 5","ELA","Total Number of Students","Number","385"
"Cheshire School District","900914160","2014-2015","Grade 5","Math","Total Number of Students","Number","385"
"Cheshire School District","900914160","2014-2015","Grade 6","ELA","Total Number of Students","Number","367"
"Cheshire School District","900914160","2014-2015","Grade 6","Math","Total Number of Students","Number","367"
"Cheshire School District","900914160","2014-2015","Grade 7","ELA","Total Number of Students","Number","355"
"Cheshire School District","900914160","2014-2015","Grade 7","Math","Total Number of Students","Number","355"
"Cheshire School District","900914160","2014-2015","Grade 8","ELA","Total Number of Students","Number","399"
"Cheshire School District","900914160","2014-2015","Grade 8","Math","Total Number of Students","Number","399"
"Cheshire School District","900914160","2014-2015","All","ELA","Total Number Tested","Number","2487"
"Cheshire School District","900914160","2014-2015","All","Math","Total Number Tested","Number","2486"
"Cheshire School District","900914160","2014-2015","Grade 11","ELA","Total Number Tested","Number","368"
"Cheshire School District","900914160","2014-2015","Grade 11","Math","Total Number Tested","Number","366"
"Cheshire School District","900914160","2014-2015","Grade 3","ELA","Total Number Tested","Number","285"
"Cheshire School District","900914160","2014-2015","Grade 3","Math","Total Number Tested","Number","285"
"Cheshire School District","900914160","2014-2015","Grade 4","ELA","Total Number Tested","Number","342"
"Cheshire School District","900914160","2014-2015","Grade 4","Math","Total Number Tested","Number","342"
"Cheshire School District","900914160","2014-2015","Grade 5","ELA","Total Number Tested","Number","381"
"Cheshire School District","900914160","2014-2015","Grade 5","Math","Total Number Tested","Number","381"
"Cheshire School District","900914160","2014-2015","Grade 6","ELA","Total Number Tested","Number","364"
"Cheshire School District","900914160","2014-2015","Grade 6","Math","Total Number Tested","Number","365"
"Cheshire School District","900914160","2014-2015","Grade 7","ELA","Total Number Tested","Number","353"
"Cheshire School District","900914160","2014-2015","Grade 7","Math","Total Number Tested","Number","353"
"Cheshire School District","900914160","2014-2015","Grade 8","ELA","Total Number Tested","Number","394"
"Cheshire School District","900914160","2014-2015","Grade 8","Math","Total Number Tested","Number","394"
"Cheshire School District","900914160","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","98.6"
"Cheshire School District","900914160","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","98.5"
"Cheshire School District","900914160","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","96.1"
"Cheshire School District","900914160","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","95.6"
"Cheshire School District","900914160","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","97.9"
"Cheshire School District","900914160","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","97.9"
"Cheshire School District","900914160","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","99.7"
"Cheshire School District","900914160","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","99.7"
"Cheshire School District","900914160","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","99"
"Cheshire School District","900914160","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","99"
"Cheshire School District","900914160","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","99.2"
"Cheshire School District","900914160","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","99.5"
"Cheshire School District","900914160","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","99.4"
"Cheshire School District","900914160","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","99.4"
"Cheshire School District","900914160","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","98.7"
"Cheshire School District","900914160","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","98.7"
"Cheshire School District","900914160","2014-2015","All","ELA","Total Number with Scored Tests","Number","2486"
"Cheshire School District","900914160","2014-2015","All","Math","Total Number with Scored Tests","Number","2486"
"Cheshire School District","900914160","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","368"
"Cheshire School District","900914160","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","366"
"Cheshire School District","900914160","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","285"
"Cheshire School District","900914160","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","285"
"Cheshire School District","900914160","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","342"
"Cheshire School District","900914160","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","342"
"Cheshire School District","900914160","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","381"
"Cheshire School District","900914160","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","381"
"Cheshire School District","900914160","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","363"
"Cheshire School District","900914160","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","365"
"Cheshire School District","900914160","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","353"
"Cheshire School District","900914160","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","353"
"Cheshire School District","900914160","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","394"
"Cheshire School District","900914160","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","394"
"Cheshire School District","900914160","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Cheshire School District","900914160","2014-2015","All","Math","AverageVSS","Number","-6666"
"Cheshire School District","900914160","2014-2015","Grade 11","ELA","AverageVSS","Number","2634"
"Cheshire School District","900914160","2014-2015","Grade 11","Math","AverageVSS","Number","2617"
"Cheshire School District","900914160","2014-2015","Grade 3","ELA","AverageVSS","Number","2476"
"Cheshire School District","900914160","2014-2015","Grade 3","Math","AverageVSS","Number","2458"
"Cheshire School District","900914160","2014-2015","Grade 4","ELA","AverageVSS","Number","2539"
"Cheshire School District","900914160","2014-2015","Grade 4","Math","AverageVSS","Number","2514"
"Cheshire School District","900914160","2014-2015","Grade 5","ELA","AverageVSS","Number","2564"
"Cheshire School District","900914160","2014-2015","Grade 5","Math","AverageVSS","Number","2529"
"Cheshire School District","900914160","2014-2015","Grade 6","ELA","AverageVSS","Number","2596"
"Cheshire School District","900914160","2014-2015","Grade 6","Math","AverageVSS","Number","2566"
"Cheshire School District","900914160","2014-2015","Grade 7","ELA","AverageVSS","Number","2617"
"Cheshire School District","900914160","2014-2015","Grade 7","Math","AverageVSS","Number","2577"
"Cheshire School District","900914160","2014-2015","Grade 8","ELA","AverageVSS","Number","2626"
"Cheshire School District","900914160","2014-2015","Grade 8","Math","AverageVSS","Number","2602"
"Cheshire School District","900914160","2015-2016","All","ELA","Total Number of Students","Number","2053"
"Cheshire School District","900914160","2015-2016","All","Math","Total Number of Students","Number","2053"
"Cheshire School District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Cheshire School District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Cheshire School District","900914160","2015-2016","Grade 3","ELA","Total Number of Students","Number","297"
"Cheshire School District","900914160","2015-2016","Grade 3","Math","Total Number of Students","Number","297"
"Cheshire School District","900914160","2015-2016","Grade 4","ELA","Total Number of Students","Number","293"
"Cheshire School District","900914160","2015-2016","Grade 4","Math","Total Number of Students","Number","293"
"Cheshire School District","900914160","2015-2016","Grade 5","ELA","Total Number of Students","Number","348"
"Cheshire School District","900914160","2015-2016","Grade 5","Math","Total Number of Students","Number","348"
"Cheshire School District","900914160","2015-2016","Grade 6","ELA","Total Number of Students","Number","393"
"Cheshire School District","900914160","2015-2016","Grade 6","Math","Total Number of Students","Number","393"
"Cheshire School District","900914160","2015-2016","Grade 7","ELA","Total Number of Students","Number","366"
"Cheshire School District","900914160","2015-2016","Grade 7","Math","Total Number of Students","Number","366"
"Cheshire School District","900914160","2015-2016","Grade 8","ELA","Total Number of Students","Number","356"
"Cheshire School District","900914160","2015-2016","Grade 8","Math","Total Number of Students","Number","356"
"Cheshire School District","900914160","2015-2016","All","ELA","Total Number Tested","Number","2035"
"Cheshire School District","900914160","2015-2016","All","Math","Total Number Tested","Number","2033"
"Cheshire School District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Cheshire School District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Cheshire School District","900914160","2015-2016","Grade 3","ELA","Total Number Tested","Number","295"
"Cheshire School District","900914160","2015-2016","Grade 3","Math","Total Number Tested","Number","295"
"Cheshire School District","900914160","2015-2016","Grade 4","ELA","Total Number Tested","Number","290"
"Cheshire School District","900914160","2015-2016","Grade 4","Math","Total Number Tested","Number","290"
"Cheshire School District","900914160","2015-2016","Grade 5","ELA","Total Number Tested","Number","345"
"Cheshire School District","900914160","2015-2016","Grade 5","Math","Total Number Tested","Number","345"
"Cheshire School District","900914160","2015-2016","Grade 6","ELA","Total Number Tested","Number","388"
"Cheshire School District","900914160","2015-2016","Grade 6","Math","Total Number Tested","Number","388"
"Cheshire School District","900914160","2015-2016","Grade 7","ELA","Total Number Tested","Number","364"
"Cheshire School District","900914160","2015-2016","Grade 7","Math","Total Number Tested","Number","363"
"Cheshire School District","900914160","2015-2016","Grade 8","ELA","Total Number Tested","Number","353"
"Cheshire School District","900914160","2015-2016","Grade 8","Math","Total Number Tested","Number","352"
"Cheshire School District","900914160","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","99.1"
"Cheshire School District","900914160","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","99.0"
"Cheshire School District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Cheshire School District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Cheshire School District","900914160","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","99.3"
"Cheshire School District","900914160","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Cheshire School District","900914160","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","99"
"Cheshire School District","900914160","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","99"
"Cheshire School District","900914160","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","99.1"
"Cheshire School District","900914160","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","99.1"
"Cheshire School District","900914160","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","98.7"
"Cheshire School District","900914160","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","98.7"
"Cheshire School District","900914160","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Cheshire School District","900914160","2015-2016","Grade 7","Math","Smarter Balanced Participation Rate","Percent","99.2"
"Cheshire School District","900914160","2015-2016","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","99.2"
"Cheshire School District","900914160","2015-2016","Grade 8","Math","Smarter Balanced Participation Rate","Percent","98.9"
"Cheshire School District","900914160","2015-2016","All","ELA","Total Number with Scored Tests","Number","2035"
"Cheshire School District","900914160","2015-2016","All","Math","Total Number with Scored Tests","Number","2033"
"Cheshire School District","","2015-2016","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Cheshire School District","","2015-2016","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Cheshire School District","900914160","2015-2016","Grade 3","ELA","Total Number with Scored Tests","Number","295"
"Cheshire School District","900914160","2015-2016","Grade 3","Math","Total Number with Scored Tests","Number","295"
"Cheshire School District","900914160","2015-2016","Grade 4","ELA","Total Number with Scored Tests","Number","290"
"Cheshire School District","900914160","2015-2016","Grade 4","Math","Total Number with Scored Tests","Number","290"
"Cheshire School District","900914160","2015-2016","Grade 5","ELA","Total Number with Scored Tests","Number","345"
"Cheshire School District","900914160","2015-2016","Grade 5","Math","Total Number with Scored Tests","Number","345"
"Cheshire School District","900914160","2015-2016","Grade 6","ELA","Total Number with Scored Tests","Number","388"
"Cheshire School District","900914160","2015-2016","Grade 6","Math","Total Number with Scored Tests","Number","388"
"Cheshire School District","900914160","2015-2016","Grade 7","ELA","Total Number with Scored Tests","Number","364"
"Cheshire School District","900914160","2015-2016","Grade 7","Math","Total Number with Scored Tests","Number","363"
"Cheshire School District","900914160","2015-2016","Grade 8","ELA","Total Number with Scored Tests","Number","353"
"Cheshire School District","900914160","2015-2016","Grade 8","Math","Total Number with Scored Tests","Number","352"
"Cheshire School District","900914160","2015-2016","All","ELA","AverageVSS","Number","-6666"
"Cheshire School District","900914160","2015-2016","All","Math","AverageVSS","Number","-6666"
"Cheshire School District","","2015-2016","Grade 11","ELA","AverageVSS","Number","-6666"
"Cheshire School District","","2015-2016","Grade 11","Math","AverageVSS","Number","-6666"
"Cheshire School District","900914160","2015-2016","Grade 3","ELA","AverageVSS","Number","2490"
"Cheshire School District","900914160","2015-2016","Grade 3","Math","AverageVSS","Number","2480"
"Cheshire School District","900914160","2015-2016","Grade 4","ELA","AverageVSS","Number","2535"
"Cheshire School District","900914160","2015-2016","Grade 4","Math","AverageVSS","Number","2512"
"Cheshire School District","900914160","2015-2016","Grade 5","ELA","AverageVSS","Number","2585"
"Cheshire School District","900914160","2015-2016","Grade 5","Math","AverageVSS","Number","2561"
"Cheshire School District","900914160","2015-2016","Grade 6","ELA","AverageVSS","Number","2589"
"Cheshire School District","900914160","2015-2016","Grade 6","Math","AverageVSS","Number","2572"
"Cheshire School District","900914160","2015-2016","Grade 7","ELA","AverageVSS","Number","2602"
"Cheshire School District","900914160","2015-2016","Grade 7","Math","AverageVSS","Number","2578"
"Cheshire School District","900914160","2015-2016","Grade 8","ELA","AverageVSS","Number","2624"
"Cheshire School District","900914160","2015-2016","Grade 8","Math","AverageVSS","Number","2609"
"Chester School District","","2014-2015","All","ELA","Total Number of Students","Number","137"
"Chester School District","","2014-2015","All","Math","Total Number of Students","Number","138"
"Chester School District","","2014-2015","Grade 11","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","Grade 11","Math","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","Grade 3","ELA","Total Number of Students","Number","28"
"Chester School District","","2014-2015","Grade 3","Math","Total Number of Students","Number","28"
"Chester School District","","2014-2015","Grade 4","ELA","Total Number of Students","Number","35"
"Chester School District","","2014-2015","Grade 4","Math","Total Number of Students","Number","35"
"Chester School District","","2014-2015","Grade 5","ELA","Total Number of Students","Number","40"
"Chester School District","","2014-2015","Grade 5","Math","Total Number of Students","Number","41"
"Chester School District","","2014-2015","Grade 6","ELA","Total Number of Students","Number","34"
"Chester School District","","2014-2015","Grade 6","Math","Total Number of Students","Number","34"
"Chester School District","","2014-2015","Grade 7","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","Grade 7","Math","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","Grade 8","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","Grade 8","Math","Total Number of Students","Number","-6666"
"Chester School District","","2014-2015","All","ELA","Total Number Tested","Number","137"
"Chester School District","","2014-2015","All","Math","Total Number Tested","Number","138"
"Chester School District","","2014-2015","Grade 11","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","Grade 11","Math","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","Grade 3","ELA","Total Number Tested","Number","28"
"Chester School District","","2014-2015","Grade 3","Math","Total Number Tested","Number","28"
"Chester School District","","2014-2015","Grade 4","ELA","Total Number Tested","Number","35"
"Chester School District","","2014-2015","Grade 4","Math","Total Number Tested","Number","35"
"Chester School District","","2014-2015","Grade 5","ELA","Total Number Tested","Number","40"
"Chester School District","","2014-2015","Grade 5","Math","Total Number Tested","Number","41"
"Chester School District","","2014-2015","Grade 6","ELA","Total Number Tested","Number","34"
"Chester School District","","2014-2015","Grade 6","Math","Total Number Tested","Number","34"
"Chester School District","","2014-2015","Grade 7","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","Grade 7","Math","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","Grade 8","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","Grade 8","Math","Total Number Tested","Number","-6666"
"Chester School District","","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","100.0"
"Chester School District","","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","100.0"
"Chester School District","","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2014-2015","All","ELA","Total Number with Scored Tests","Number","137"
"Chester School District","","2014-2015","All","Math","Total Number with Scored Tests","Number","138"
"Chester School District","","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","28"
"Chester School District","","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","28"
"Chester School District","","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","35"
"Chester School District","","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","35"
"Chester School District","","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","40"
"Chester School District","","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","41"
"Chester School District","","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","34"
"Chester School District","","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","34"
"Chester School District","","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","All","Math","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 11","ELA","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 11","Math","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 3","ELA","AverageVSS","Number","2483"
"Chester School District","","2014-2015","Grade 3","Math","AverageVSS","Number","2483"
"Chester School District","","2014-2015","Grade 4","ELA","AverageVSS","Number","2538"
"Chester School District","","2014-2015","Grade 4","Math","AverageVSS","Number","2523"
"Chester School District","","2014-2015","Grade 5","ELA","AverageVSS","Number","2578"
"Chester School District","","2014-2015","Grade 5","Math","AverageVSS","Number","2519"
"Chester School District","","2014-2015","Grade 6","ELA","AverageVSS","Number","2603"
"Chester School District","","2014-2015","Grade 6","Math","AverageVSS","Number","2588"
"Chester School District","","2014-2015","Grade 7","ELA","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 7","Math","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 8","ELA","AverageVSS","Number","-6666"
"Chester School District","","2014-2015","Grade 8","Math","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","All","ELA","Total Number of Students","Number","131"
"Chester School District","","2015-2016","All","Math","Total Number of Students","Number","131"
"Chester School District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","Grade 3","ELA","Total Number of Students","Number","27"
"Chester School District","","2015-2016","Grade 3","Math","Total Number of Students","Number","27"
"Chester School District","","2015-2016","Grade 4","ELA","Total Number of Students","Number","28"
"Chester School District","","2015-2016","Grade 4","Math","Total Number of Students","Number","28"
"Chester School District","","2015-2016","Grade 5","ELA","Total Number of Students","Number","35"
"Chester School District","","2015-2016","Grade 5","Math","Total Number of Students","Number","35"
"Chester School District","","2015-2016","Grade 6","ELA","Total Number of Students","Number","41"
"Chester School District","","2015-2016","Grade 6","Math","Total Number of Students","Number","41"
"Chester School District","","2015-2016","Grade 7","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","Grade 7","Math","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","Grade 8","ELA","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","Grade 8","Math","Total Number of Students","Number","-6666"
"Chester School District","","2015-2016","All","ELA","Total Number Tested","Number","130"
"Chester School District","","2015-2016","All","Math","Total Number Tested","Number","130"
"Chester School District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","Grade 3","ELA","Total Number Tested","Number","27"
"Chester School District","","2015-2016","Grade 3","Math","Total Number Tested","Number","27"
"Chester School District","","2015-2016","Grade 4","ELA","Total Number Tested","Number","28"
"Chester School District","","2015-2016","Grade 4","Math","Total Number Tested","Number","28"
"Chester School District","","2015-2016","Grade 5","ELA","Total Number Tested","Number","35"
"Chester School District","","2015-2016","Grade 5","Math","Total Number Tested","Number","35"
"Chester School District","","2015-2016","Grade 6","ELA","Total Number Tested","Number","40"
"Chester School District","","2015-2016","Grade 6","Math","Total Number Tested","Number","40"
"Chester School District","","2015-2016","Grade 7","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","Grade 7","Math","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","Grade 8","ELA","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","Grade 8","Math","Total Number Tested","Number","-6666"
"Chester School District","","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","99.2"
"Chester School District","","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","99.2"
"Chester School District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Chester School District","","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","97.6"
"Chester School District","","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","97.6"
"Chester School District","","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","Grade 7","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","Grade 8","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Chester School District","","2015-2016","All","ELA","Total Number with Scored Tests","Number","130"
"Chester School District","","2015-2016","All","Math","Total Number with Scored Tests","Number","130"
"Chester School District","","2015-2016","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","Grade 3","ELA","Total Number with Scored Tests","Number","27"
"Chester School District","","2015-2016","Grade 3","Math","Total Number with Scored Tests","Number","27"
"Chester School District","","2015-2016","Grade 4","ELA","Total Number with Scored Tests","Number","28"
"Chester School District","","2015-2016","Grade 4","Math","Total Number with Scored Tests","Number","28"
"Chester School District","","2015-2016","Grade 5","ELA","Total Number with Scored Tests","Number","35"
"Chester School District","","2015-2016","Grade 5","Math","Total Number with Scored Tests","Number","35"
"Chester School District","","2015-2016","Grade 6","ELA","Total Number with Scored Tests","Number","40"
"Chester School District","","2015-2016","Grade 6","Math","Total Number with Scored Tests","Number","40"
"Chester School District","","2015-2016","Grade 7","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","Grade 7","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","Grade 8","ELA","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","Grade 8","Math","Total Number with Scored Tests","Number","-6666"
"Chester School District","","2015-2016","All","ELA","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","All","Math","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 11","ELA","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 11","Math","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 3","ELA","AverageVSS","Number","2482"
"Chester School District","","2015-2016","Grade 3","Math","AverageVSS","Number","2485"
"Chester School District","","2015-2016","Grade 4","ELA","AverageVSS","Number","2516"
"Chester School District","","2015-2016","Grade 4","Math","AverageVSS","Number","2516"
"Chester School District","","2015-2016","Grade 5","ELA","AverageVSS","Number","2574"
"Chester School District","","2015-2016","Grade 5","Math","AverageVSS","Number","2550"
"Chester School District","","2015-2016","Grade 6","ELA","AverageVSS","Number","2607"
"Chester School District","","2015-2016","Grade 6","Math","AverageVSS","Number","2586"
"Chester School District","","2015-2016","Grade 7","ELA","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 7","Math","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 8","ELA","AverageVSS","Number","-6666"
"Chester School District","","2015-2016","Grade 8","Math","AverageVSS","Number","-6666"
"Clinton School District","900715350","2014-2015","All","ELA","Total Number of Students","Number","1057"
"Clinton School District","900715350","2014-2015","All","Math","Total Number of Students","Number","1056"
"Clinton School District","900715350","2014-2015","Grade 11","ELA","Total Number of Students","Number","134"
"Clinton School District","900715350","2014-2015","Grade 11","Math","Total Number of Students","Number","133"
"Clinton School District","900715350","2014-2015","Grade 3","ELA","Total Number of Students","Number","139"
"Clinton School District","900715350","2014-2015","Grade 3","Math","Total Number of Students","Number","139"
"Clinton School District","900715350","2014-2015","Grade 4","ELA","Total Number of Students","Number","171"
"Clinton School District","900715350","2014-2015","Grade 4","Math","Total Number of Students","Number","171"
"Clinton School District","900715350","2014-2015","Grade 5","ELA","Total Number of Students","Number","144"
"Clinton School District","900715350","2014-2015","Grade 5","Math","Total Number of Students","Number","144"
"Clinton School District","900715350","2014-2015","Grade 6","ELA","Total Number of Students","Number","149"
"Clinton School District","900715350","2014-2015","Grade 6","Math","Total Number of Students","Number","149"
