"District","FIPS","Year","Subject","Variable","Measure Type","Value"
"Bozrah School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","50"
"Bozrah School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","49.6"
"Bozrah School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","38.8"
"Bozrah School District","","2015-2016","ELA","Total Number of Students","Number","134"
"Bozrah School District","","2015-2016","Math","Total Number of Students","Number","134"
"Bozrah School District","","2015-2016","ELA","Total Number Tested","Number","133"
"Bozrah School District","","2015-2016","Math","Total Number Tested","Number","133"
"Bozrah School District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.3"
"Bozrah School District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Bozrah School District","","2015-2016","ELA","Total Number with Scored Tests","Number","132"
"Bozrah School District","","2015-2016","Math","Total Number with Scored Tests","Number","132"
"Bozrah School District","","2015-2016","ELA","Level 1 Not Met Count","Number","31"
"Bozrah School District","","2015-2016","Math","Level 1 Not Met Count","Number","31"
"Bozrah School District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","23.5"
"Bozrah School District","","2015-2016","Math","Level 1 Not Met Percent","Percent","23.5"
"Bozrah School District","","2015-2016","ELA","Level 2 Approaching Count","Number","40"
"Bozrah School District","","2015-2016","Math","Level 2 Approaching Count","Number","53"
"Bozrah School District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","30.3"
"Bozrah School District","","2015-2016","Math","Level 2 Approaching Percent","Percent","40.2"
"Bozrah School District","","2015-2016","ELA","Level 3 Met Count","Number","40"
"Bozrah School District","","2015-2016","Math","Level 3 Met Count","Number","35"
"Bozrah School District","","2015-2016","ELA","Level 3 Met Percent","Percent","30.3"
"Bozrah School District","","2015-2016","Math","Level 3 Met Percent","Percent","26.5"
"Bozrah School District","","2015-2016","ELA","Level 4 Exceeded Count","Number","21"
"Bozrah School District","","2015-2016","Math","Level 4 Exceeded Count","Number","13"
"Bozrah School District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","15.9"
"Bozrah School District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","9.8"
"Bozrah School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","61"
"Bozrah School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","48"
"Bozrah School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","46.2"
"Bozrah School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","36.4"
"Branford School District","900907310","2014-2015","ELA","Total Number of Students","Number","1612"
"Branford School District","900907310","2014-2015","Math","Total Number of Students","Number","1612"
"Branford School District","900907310","2014-2015","ELA","Total Number Tested","Number","1571"
"Branford School District","900907310","2014-2015","Math","Total Number Tested","Number","1569"
"Branford School District","900907310","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","97.5"
"Branford School District","900907310","2014-2015","Math","Smarter Balanced Participation Rate","Percent","97.3"
"Branford School District","900907310","2014-2015","ELA","Total Number with Scored Tests","Number","1571"
"Branford School District","900907310","2014-2015","Math","Total Number with Scored Tests","Number","1567"
"Branford School District","900907310","2014-2015","ELA","Level 1 Not Met Count","Number","278"
"Branford School District","900907310","2014-2015","Math","Level 1 Not Met Count","Number","460"
"Branford School District","900907310","2014-2015","ELA","Level 1 Not Met Percent","Percent","17.7"
"Branford School District","900907310","2014-2015","Math","Level 1 Not Met Percent","Percent","29.4"
"Branford School District","900907310","2014-2015","ELA","Level 2 Approaching Count","Number","364"
"Branford School District","900907310","2014-2015","Math","Level 2 Approaching Count","Number","400"
"Branford School District","900907310","2014-2015","ELA","Level 2 Approaching Percent","Percent","23.2"
"Branford School District","900907310","2014-2015","Math","Level 2 Approaching Percent","Percent","25.5"
"Branford School District","900907310","2014-2015","ELA","Level 3 Met Count","Number","556"
"Branford School District","900907310","2014-2015","Math","Level 3 Met Count","Number","400"
"Branford School District","900907310","2014-2015","ELA","Level 3 Met Percent","Percent","35.4"
"Branford School District","900907310","2014-2015","Math","Level 3 Met Percent","Percent","25.5"
"Branford School District","900907310","2014-2015","ELA","Level 4 Exceeded Count","Number","373"
"Branford School District","900907310","2014-2015","Math","Level 4 Exceeded Count","Number","307"
"Branford School District","900907310","2014-2015","ELA","Level 4 Exceeded Percent","Percent","23.7"
"Branford School District","900907310","2014-2015","Math","Level 4 Exceeded Percent","Percent","19.6"
"Branford School District","900907310","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","929"
"Branford School District","900907310","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","707"
"Branford School District","900907310","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","59.1"
"Branford School District","900907310","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","45.1"
"Branford School District","900907310","2015-2016","ELA","Total Number of Students","Number","1355"
"Branford School District","900907310","2015-2016","Math","Total Number of Students","Number","1353"
"Branford School District","900907310","2015-2016","ELA","Total Number Tested","Number","1341"
"Branford School District","900907310","2015-2016","Math","Total Number Tested","Number","1337"
"Branford School District","900907310","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.0"
"Branford School District","900907310","2015-2016","Math","Smarter Balanced Participation Rate","Percent","98.8"
"Branford School District","900907310","2015-2016","ELA","Total Number with Scored Tests","Number","1334"
"Branford School District","900907310","2015-2016","Math","Total Number with Scored Tests","Number","1332"
"Branford School District","900907310","2015-2016","ELA","Level 1 Not Met Count","Number","183"
"Branford School District","900907310","2015-2016","Math","Level 1 Not Met Count","Number","275"
"Branford School District","900907310","2015-2016","ELA","Level 1 Not Met Percent","Percent","13.7"
"Branford School District","900907310","2015-2016","Math","Level 1 Not Met Percent","Percent","20.6"
"Branford School District","900907310","2015-2016","ELA","Level 2 Approaching Count","Number","303"
"Branford School District","900907310","2015-2016","Math","Level 2 Approaching Count","Number","348"
"Branford School District","900907310","2015-2016","ELA","Level 2 Approaching Percent","Percent","22.7"
"Branford School District","900907310","2015-2016","Math","Level 2 Approaching Percent","Percent","26.1"
"Branford School District","900907310","2015-2016","ELA","Level 3 Met Count","Number","448"
"Branford School District","900907310","2015-2016","Math","Level 3 Met Count","Number","367"
"Branford School District","900907310","2015-2016","ELA","Level 3 Met Percent","Percent","33.6"
"Branford School District","900907310","2015-2016","Math","Level 3 Met Percent","Percent","27.6"
"Branford School District","900907310","2015-2016","ELA","Level 4 Exceeded Count","Number","400"
"Branford School District","900907310","2015-2016","Math","Level 4 Exceeded Count","Number","342"
"Branford School District","900907310","2015-2016","ELA","Level 4 Exceeded Percent","Percent","30.0"
"Branford School District","900907310","2015-2016","Math","Level 4 Exceeded Percent","Percent","25.7"
"Branford School District","900907310","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","848"
"Branford School District","900907310","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","709"
"Branford School District","900907310","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","63.6"
"Branford School District","900907310","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","53.2"
"Brass City Charter School District","","2014-2015","ELA","Total Number of Students","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Total Number of Students","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Total Number Tested","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Total Number Tested","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Brass City Charter School District","","2014-2015","ELA","Total Number with Scored Tests","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Total Number with Scored Tests","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 1 Not Met Count","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 1 Not Met Count","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 1 Not Met Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 2 Approaching Count","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 2 Approaching Count","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 2 Approaching Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 3 Met Count","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 3 Met Count","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 3 Met Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 3 Met Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 4 Exceeded Count","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 4 Exceeded Count","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","-6666"
"Brass City Charter School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","-6666"
"Brass City Charter School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","-6666"
"Brass City Charter School District","","2015-2016","ELA","Total Number of Students","Number","39"
"Brass City Charter School District","","2015-2016","Math","Total Number of Students","Number","39"
"Brass City Charter School District","","2015-2016","ELA","Total Number Tested","Number","39"
"Brass City Charter School District","","2015-2016","Math","Total Number Tested","Number","39"
"Brass City Charter School District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","100.0"
"Brass City Charter School District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","100.0"
"Brass City Charter School District","","2015-2016","ELA","Total Number with Scored Tests","Number","39"
"Brass City Charter School District","","2015-2016","Math","Total Number with Scored Tests","Number","39"
"Brass City Charter School District","","2015-2016","ELA","Level 1 Not Met Count","Number","-9999"
"Brass City Charter School District","","2015-2016","Math","Level 1 Not Met Count","Number","-9999"
"Brass City Charter School District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","-9999"
"Brass City Charter School District","","2015-2016","Math","Level 1 Not Met Percent","Percent","-9999"
"Brass City Charter School District","","2015-2016","ELA","Level 2 Approaching Count","Number","-9999"
"Brass City Charter School District","","2015-2016","Math","Level 2 Approaching Count","Number","-9999"
"Brass City Charter School District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","-9999"
"Brass City Charter School District","","2015-2016","Math","Level 2 Approaching Percent","Percent","-9999"
"Brass City Charter School District","","2015-2016","ELA","Level 3 Met Count","Number","12"
"Brass City Charter School District","","2015-2016","Math","Level 3 Met Count","Number","15"
"Brass City Charter School District","","2015-2016","ELA","Level 3 Met Percent","Percent","30.8"
"Brass City Charter School District","","2015-2016","Math","Level 3 Met Percent","Percent","38.5"
"Brass City Charter School District","","2015-2016","ELA","Level 4 Exceeded Count","Number","20"
"Brass City Charter School District","","2015-2016","Math","Level 4 Exceeded Count","Number","17"
"Brass City Charter School District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","51.3"
"Brass City Charter School District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","43.6"
"Brass City Charter School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","32"
"Brass City Charter School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","32"
"Brass City Charter School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","82.1"
"Brass City Charter School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","82.1"
"Bridgeport School District","900108070","2014-2015","ELA","Total Number of Students","Number","10461"
"Bridgeport School District","900108070","2014-2015","Math","Total Number of Students","Number","10462"
"Bridgeport School District","900108070","2014-2015","ELA","Total Number Tested","Number","9942"
"Bridgeport School District","900108070","2014-2015","Math","Total Number Tested","Number","10109"
"Bridgeport School District","900108070","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","95.0"
"Bridgeport School District","900108070","2014-2015","Math","Smarter Balanced Participation Rate","Percent","96.6"
"Bridgeport School District","900108070","2014-2015","ELA","Total Number with Scored Tests","Number","9905"
"Bridgeport School District","900108070","2014-2015","Math","Total Number with Scored Tests","Number","10102"
"Bridgeport School District","900108070","2014-2015","ELA","Level 1 Not Met Count","Number","4863"
"Bridgeport School District","900108070","2014-2015","Math","Level 1 Not Met Count","Number","6860"
"Bridgeport School District","900108070","2014-2015","ELA","Level 1 Not Met Percent","Percent","49.1"
"Bridgeport School District","900108070","2014-2015","Math","Level 1 Not Met Percent","Percent","67.9"
"Bridgeport School District","900108070","2014-2015","ELA","Level 2 Approaching Count","Number","2688"
"Bridgeport School District","900108070","2014-2015","Math","Level 2 Approaching Count","Number","2345"
"Bridgeport School District","900108070","2014-2015","ELA","Level 2 Approaching Percent","Percent","27.1"
"Bridgeport School District","900108070","2014-2015","Math","Level 2 Approaching Percent","Percent","23.2"
"Bridgeport School District","900108070","2014-2015","ELA","Level 3 Met Count","Number","1852"
"Bridgeport School District","900108070","2014-2015","Math","Level 3 Met Count","Number","723"
"Bridgeport School District","900108070","2014-2015","ELA","Level 3 Met Percent","Percent","18.7"
"Bridgeport School District","900108070","2014-2015","Math","Level 3 Met Percent","Percent","7.2"
"Bridgeport School District","900108070","2014-2015","ELA","Level 4 Exceeded Count","Number","502"
"Bridgeport School District","900108070","2014-2015","Math","Level 4 Exceeded Count","Number","174"
"Bridgeport School District","900108070","2014-2015","ELA","Level 4 Exceeded Percent","Percent","5.1"
"Bridgeport School District","900108070","2014-2015","Math","Level 4 Exceeded Percent","Percent","1.7"
"Bridgeport School District","900108070","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","2354"
"Bridgeport School District","900108070","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","897"
"Bridgeport School District","900108070","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","23.8"
"Bridgeport School District","900108070","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","8.9"
"Bridgeport School District","900108070","2015-2016","ELA","Total Number of Students","Number","9373"
"Bridgeport School District","900108070","2015-2016","Math","Total Number of Students","Number","9369"
"Bridgeport School District","900108070","2015-2016","ELA","Total Number Tested","Number","9322"
"Bridgeport School District","900108070","2015-2016","Math","Total Number Tested","Number","9302"
"Bridgeport School District","900108070","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.5"
"Bridgeport School District","900108070","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.3"
"Bridgeport School District","900108070","2015-2016","ELA","Total Number with Scored Tests","Number","9313"
"Bridgeport School District","900108070","2015-2016","Math","Total Number with Scored Tests","Number","9299"
"Bridgeport School District","900108070","2015-2016","ELA","Level 1 Not Met Count","Number","4994"
"Bridgeport School District","900108070","2015-2016","Math","Level 1 Not Met Count","Number","6166"
"Bridgeport School District","900108070","2015-2016","ELA","Level 1 Not Met Percent","Percent","53.6"
"Bridgeport School District","900108070","2015-2016","Math","Level 1 Not Met Percent","Percent","66.3"
"Bridgeport School District","900108070","2015-2016","ELA","Level 2 Approaching Count","Number","2224"
"Bridgeport School District","900108070","2015-2016","Math","Level 2 Approaching Count","Number","2217"
"Bridgeport School District","900108070","2015-2016","ELA","Level 2 Approaching Percent","Percent","23.9"
"Bridgeport School District","900108070","2015-2016","Math","Level 2 Approaching Percent","Percent","23.8"
"Bridgeport School District","900108070","2015-2016","ELA","Level 3 Met Count","Number","1574"
"Bridgeport School District","900108070","2015-2016","Math","Level 3 Met Count","Number","726"
"Bridgeport School District","900108070","2015-2016","ELA","Level 3 Met Percent","Percent","16.9"
"Bridgeport School District","900108070","2015-2016","Math","Level 3 Met Percent","Percent","7.8"
"Bridgeport School District","900108070","2015-2016","ELA","Level 4 Exceeded Count","Number","521"
"Bridgeport School District","900108070","2015-2016","Math","Level 4 Exceeded Count","Number","190"
"Bridgeport School District","900108070","2015-2016","ELA","Level 4 Exceeded Percent","Percent","5.6"
"Bridgeport School District","900108070","2015-2016","Math","Level 4 Exceeded Percent","Percent","2.0"
"Bridgeport School District","900108070","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","2095"
"Bridgeport School District","900108070","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","916"
"Bridgeport School District","900108070","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","22.5"
"Bridgeport School District","900108070","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","9.9"
"Bristol School District","900308490","2014-2015","ELA","Total Number of Students","Number","4207"
"Bristol School District","900308490","2014-2015","Math","Total Number of Students","Number","4210"
"Bristol School District","900308490","2014-2015","ELA","Total Number Tested","Number","4139"
"Bristol School District","900308490","2014-2015","Math","Total Number Tested","Number","4161"
"Bristol School District","900308490","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","98.4"
"Bristol School District","900308490","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.8"
"Bristol School District","900308490","2014-2015","ELA","Total Number with Scored Tests","Number","4135"
"Bristol School District","900308490","2014-2015","Math","Total Number with Scored Tests","Number","4160"
"Bristol School District","900308490","2014-2015","ELA","Level 1 Not Met Count","Number","897"
"Bristol School District","900308490","2014-2015","Math","Level 1 Not Met Count","Number","1483"
"Bristol School District","900308490","2014-2015","ELA","Level 1 Not Met Percent","Percent","21.7"
"Bristol School District","900308490","2014-2015","Math","Level 1 Not Met Percent","Percent","35.6"
"Bristol School District","900308490","2014-2015","ELA","Level 2 Approaching Count","Number","1100"
"Bristol School District","900308490","2014-2015","Math","Level 2 Approaching Count","Number","1320"
"Bristol School District","900308490","2014-2015","ELA","Level 2 Approaching Percent","Percent","26.6"
"Bristol School District","900308490","2014-2015","Math","Level 2 Approaching Percent","Percent","31.7"
"Bristol School District","900308490","2014-2015","ELA","Level 3 Met Count","Number","1424"
"Bristol School District","900308490","2014-2015","Math","Level 3 Met Count","Number","933"
"Bristol School District","900308490","2014-2015","ELA","Level 3 Met Percent","Percent","34.4"
"Bristol School District","900308490","2014-2015","Math","Level 3 Met Percent","Percent","22.4"
"Bristol School District","900308490","2014-2015","ELA","Level 4 Exceeded Count","Number","714"
"Bristol School District","900308490","2014-2015","Math","Level 4 Exceeded Count","Number","424"
"Bristol School District","900308490","2014-2015","ELA","Level 4 Exceeded Percent","Percent","17.3"
"Bristol School District","900308490","2014-2015","Math","Level 4 Exceeded Percent","Percent","10.2"
"Bristol School District","900308490","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","2138"
"Bristol School District","900308490","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","1357"
"Bristol School District","900308490","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","51.7"
"Bristol School District","900308490","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","32.6"
"Bristol School District","900308490","2015-2016","ELA","Total Number of Students","Number","3549"
"Bristol School District","900308490","2015-2016","Math","Total Number of Students","Number","3551"
"Bristol School District","900308490","2015-2016","ELA","Total Number Tested","Number","3535"
"Bristol School District","900308490","2015-2016","Math","Total Number Tested","Number","3533"
"Bristol School District","900308490","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.6"
"Bristol School District","900308490","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.5"
"Bristol School District","900308490","2015-2016","ELA","Total Number with Scored Tests","Number","3535"
"Bristol School District","900308490","2015-2016","Math","Total Number with Scored Tests","Number","3533"
"Bristol School District","900308490","2015-2016","ELA","Level 1 Not Met Count","Number","804"
"Bristol School District","900308490","2015-2016","Math","Level 1 Not Met Count","Number","1017"
"Bristol School District","900308490","2015-2016","ELA","Level 1 Not Met Percent","Percent","22.7"
"Bristol School District","900308490","2015-2016","Math","Level 1 Not Met Percent","Percent","28.8"
"Bristol School District","900308490","2015-2016","ELA","Level 2 Approaching Count","Number","835"
"Bristol School District","900308490","2015-2016","Math","Level 2 Approaching Count","Number","1156"
"Bristol School District","900308490","2015-2016","ELA","Level 2 Approaching Percent","Percent","23.6"
"Bristol School District","900308490","2015-2016","Math","Level 2 Approaching Percent","Percent","32.7"
"Bristol School District","900308490","2015-2016","ELA","Level 3 Met Count","Number","1177"
"Bristol School District","900308490","2015-2016","Math","Level 3 Met Count","Number","846"
"Bristol School District","900308490","2015-2016","ELA","Level 3 Met Percent","Percent","33.3"
"Bristol School District","900308490","2015-2016","Math","Level 3 Met Percent","Percent","23.9"
"Bristol School District","900308490","2015-2016","ELA","Level 4 Exceeded Count","Number","719"
"Bristol School District","900308490","2015-2016","Math","Level 4 Exceeded Count","Number","514"
"Bristol School District","900308490","2015-2016","ELA","Level 4 Exceeded Percent","Percent","20.3"
"Bristol School District","900308490","2015-2016","Math","Level 4 Exceeded Percent","Percent","14.5"
"Bristol School District","900308490","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","1896"
"Bristol School District","900308490","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","1360"
"Bristol School District","900308490","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","53.6"
"Bristol School District","900308490","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","38.5"
"Brookfield School District","900108980","2014-2015","ELA","Total Number of Students","Number","1510"
"Brookfield School District","900108980","2014-2015","Math","Total Number of Students","Number","1510"
"Brookfield School District","900108980","2014-2015","ELA","Total Number Tested","Number","1438"
"Brookfield School District","900108980","2014-2015","Math","Total Number Tested","Number","1456"
"Brookfield School District","900108980","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","95.2"
"Brookfield School District","900108980","2014-2015","Math","Smarter Balanced Participation Rate","Percent","96.4"
"Brookfield School District","900108980","2014-2015","ELA","Total Number with Scored Tests","Number","1430"
"Brookfield School District","900108980","2014-2015","Math","Total Number with Scored Tests","Number","1454"
"Brookfield School District","900108980","2014-2015","ELA","Level 1 Not Met Count","Number","163"
"Brookfield School District","900108980","2014-2015","Math","Level 1 Not Met Count","Number","231"
"Brookfield School District","900108980","2014-2015","ELA","Level 1 Not Met Percent","Percent","11.4"
"Brookfield School District","900108980","2014-2015","Math","Level 1 Not Met Percent","Percent","15.9"
"Brookfield School District","900108980","2014-2015","ELA","Level 2 Approaching Count","Number","262"
"Brookfield School District","900108980","2014-2015","Math","Level 2 Approaching Count","Number","399"
"Brookfield School District","900108980","2014-2015","ELA","Level 2 Approaching Percent","Percent","18.3"
"Brookfield School District","900108980","2014-2015","Math","Level 2 Approaching Percent","Percent","27.4"
"Brookfield School District","900108980","2014-2015","ELA","Level 3 Met Count","Number","540"
"Brookfield School District","900108980","2014-2015","Math","Level 3 Met Count","Number","458"
"Brookfield School District","900108980","2014-2015","ELA","Level 3 Met Percent","Percent","37.8"
"Brookfield School District","900108980","2014-2015","Math","Level 3 Met Percent","Percent","31.5"
"Brookfield School District","900108980","2014-2015","ELA","Level 4 Exceeded Count","Number","465"
"Brookfield School District","900108980","2014-2015","Math","Level 4 Exceeded Count","Number","366"
"Brookfield School District","900108980","2014-2015","ELA","Level 4 Exceeded Percent","Percent","32.5"
"Brookfield School District","900108980","2014-2015","Math","Level 4 Exceeded Percent","Percent","25.2"
"Brookfield School District","900108980","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","1005"
"Brookfield School District","900108980","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","824"
"Brookfield School District","900108980","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","70.3"
"Brookfield School District","900108980","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","56.7"
"Brookfield School District","900108980","2015-2016","ELA","Total Number of Students","Number","1267"
"Brookfield School District","900108980","2015-2016","Math","Total Number of Students","Number","1267"
"Brookfield School District","900108980","2015-2016","ELA","Total Number Tested","Number","1195"
"Brookfield School District","900108980","2015-2016","Math","Total Number Tested","Number","1190"
"Brookfield School District","900108980","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","94.3"
"Brookfield School District","900108980","2015-2016","Math","Smarter Balanced Participation Rate","Percent","93.9"
"Brookfield School District","900108980","2015-2016","ELA","Total Number with Scored Tests","Number","1195"
"Brookfield School District","900108980","2015-2016","Math","Total Number with Scored Tests","Number","1190"
"Brookfield School District","900108980","2015-2016","ELA","Level 1 Not Met Count","Number","134"
"Brookfield School District","900108980","2015-2016","Math","Level 1 Not Met Count","Number","135"
"Brookfield School District","900108980","2015-2016","ELA","Level 1 Not Met Percent","Percent","11.2"
"Brookfield School District","900108980","2015-2016","Math","Level 1 Not Met Percent","Percent","11.3"
"Brookfield School District","900108980","2015-2016","ELA","Level 2 Approaching Count","Number","242"
"Brookfield School District","900108980","2015-2016","Math","Level 2 Approaching Count","Number","319"
"Brookfield School District","900108980","2015-2016","ELA","Level 2 Approaching Percent","Percent","20.3"
"Brookfield School District","900108980","2015-2016","Math","Level 2 Approaching Percent","Percent","26.8"
"Brookfield School District","900108980","2015-2016","ELA","Level 3 Met Count","Number","415"
"Brookfield School District","900108980","2015-2016","Math","Level 3 Met Count","Number","405"
"Brookfield School District","900108980","2015-2016","ELA","Level 3 Met Percent","Percent","34.7"
"Brookfield School District","900108980","2015-2016","Math","Level 3 Met Percent","Percent","34.0"
"Brookfield School District","900108980","2015-2016","ELA","Level 4 Exceeded Count","Number","404"
"Brookfield School District","900108980","2015-2016","Math","Level 4 Exceeded Count","Number","331"
"Brookfield School District","900108980","2015-2016","ELA","Level 4 Exceeded Percent","Percent","33.8"
"Brookfield School District","900108980","2015-2016","Math","Level 4 Exceeded Percent","Percent","27.8"
"Brookfield School District","900108980","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","819"
"Brookfield School District","900108980","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","736"
"Brookfield School District","900108980","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","68.5"
"Brookfield School District","900108980","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","61.8"
"Brooklyn School District","","2014-2015","ELA","Total Number of Students","Number","545"
"Brooklyn School District","","2014-2015","Math","Total Number of Students","Number","545"
"Brooklyn School District","","2014-2015","ELA","Total Number Tested","Number","536"
"Brooklyn School District","","2014-2015","Math","Total Number Tested","Number","538"
"Brooklyn School District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","98.3"
"Brooklyn School District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.7"
"Brooklyn School District","","2014-2015","ELA","Total Number with Scored Tests","Number","536"
"Brooklyn School District","","2014-2015","Math","Total Number with Scored Tests","Number","537"
"Brooklyn School District","","2014-2015","ELA","Level 1 Not Met Count","Number","55"
"Brooklyn School District","","2014-2015","Math","Level 1 Not Met Count","Number","147"
"Brooklyn School District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","10.3"
"Brooklyn School District","","2014-2015","Math","Level 1 Not Met Percent","Percent","27.4"
"Brooklyn School District","","2014-2015","ELA","Level 2 Approaching Count","Number","119"
"Brooklyn School District","","2014-2015","Math","Level 2 Approaching Count","Number","205"
"Brooklyn School District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","22.2"
"Brooklyn School District","","2014-2015","Math","Level 2 Approaching Percent","Percent","38.2"
"Brooklyn School District","","2014-2015","ELA","Level 3 Met Count","Number","204"
"Brooklyn School District","","2014-2015","Math","Level 3 Met Count","Number","120"
"Brooklyn School District","","2014-2015","ELA","Level 3 Met Percent","Percent","38.1"
"Brooklyn School District","","2014-2015","Math","Level 3 Met Percent","Percent","22.3"
